Name,Completed,ConRatio,nOrigCls,nOrigVar,KClauses,dAmoCnt,eAmoCnt,DirMax,EncMax,AvgSize,EncodeWeightSumK,ElimVars,dTime,eTime
05fb1e489956554f9115344bce4e71c7-partial-10-11-u-sc2007,Success,0.6631003869792852,623806,188962,413646,23000,0,8,0,4.906478260869565,0,0,2.34,17.6
05fbbab9f0baf819ed9593cca8587629-satsgi-n24himBHm28-p0-q282,Success,0.004517356,16824,672,76,52,0,28,0,25.846153846153847,0,0,0.0346,7.13e-05
06166a0dd78f45c213add974a6711dfe-barman-pfile10-038.sas.cr.25,Success,0.16898850233558252,6280232,119262,1061287,52753,0,473,0,3.9090667829317765,0,0,32.4,22.2
0616ca6b1e0ae639d12e19ed310963a9-satcoin-genesis-SAT-4,Success,0.9999969090392058,647048,134781,647046,1,0,3,0,3,0,0,0.126,7.01
06172049e6804cbfb07f993023f2684f-VanDerWaerden_pd_2-3-29_809,Success,0.9976628215066702,86429,405,86227,101,0,3,0,3,0,0,0.00137,0.0467
062f58e44eb73f9274b57af5092cad90-rook-51-0-0,Success,0.7561452529691813,532891,137748,402943,102,0,51,0,51,0,0,0.355,0.0645
06326dd7bab63b892d2c147d5928468c-smtlib-qfbv-aigs-bin_libsmbsharemodes_vc6201-tseitin,Success,0.9999913897762203,464564,164332,464560,2,0,3,0,3,0,0,1.99,403
06385be5ecfc7df22b2c956093cef85f-depots3_v01a.renamed-as.sat05-3950,Success,0.24274472523700125,75738,1498,18385,9134,0,51,0,3.8587694328881104,0,0,0.271,0.14
064ba3c61c5f105104edec8305853711-puzzle35_sat,Success,0.9999798515055962,99263,26823,99261,1,0,3,0,3,0,0,0.0574,137
066d6a47dfd9648d913ba8dbce722d75-slp-synthesis-aes-bottom16,Success,0.9993011193011193,91575,29254,91511,32,0,3,0,3,0,0,0.13,0.107
068c64314f0f8405bc28bb4c52647145-sokoban-p20.sas.cr.27,Success,0.33799867922071675,852527,134176,288153,4344,0,45,0,14.321362799263351,0,0,3.09,1.09
0697524f77ccd503f7e5fe15f23a1268-crafted_n12_d6_c4_num27,Success,0.8940974463351966,15834028,56064,14157164,99128,0,98,0,3.485029456863853,0,0,1000,5.41
069f7d519e820f6b879f880703907bb3-SGI_30_60_28_40_2-dir.shuffled-as.sat03-124-sc2002,Success,0.24777406398337218,71206,840,17643,9921,0,27,0,3.801935288781373,0,0,0.384,0.0144
06a36581f14e399a76a5110449ebe739-driverlog2_v01a.renamed-as.sat05-3961,Success,0.39515749882463563,12762,642,5043,1631,4,23,6,3.475229357798165,18,7,0.032,0.16
06d2543c151c2478fde159c6dc0424ac-udiv45prop,Success,0.9999627088305489,53632,18162,53630,1,0,3,0,3,0,0,0.101,70.5
06d96f79264e9991a5a0a417c401657a-g2-mult1.c.50.smt2-cvc4,Success,0.9974688114625595,1052470,256368,1049806,1332,0,3,0,3,0,0,8.08,5.34
06e46ab0acac57a61638cbb741949a98-complete-500-0.1-1-9876543215001,Success,0.5723773029141836,73331,1000,41973,11025,0,6,0,3.2709297052154196,0,0,0.249,0.159
06e928088bd822602edb83e41ce8dadb-satcoin-genesis-SAT-10,Success,0.9999969090248746,647045,134780,647043,1,0,3,0,3,0,0,0.127,7.32
06e997650b24ac5b5f87c1c64f4a5dcb-edn_9789_8.cnf_0.51000000.unsat,Success,0.9996350567745586,791904,486400,791615,3,0,18,0,12.666666666666666,0,0,1.89,117
0701a5b57f9b37c5fcb77463c8582693-T84.2.0,Success,0.9968860108173269,10804148,3130396,10770504,16822,0,3,0,3,0,0,63,121
076305ce31dd18724a3de91045800acc-26_stack_cas_longest_true-unreach-call.i-cbmc-u2-sc2016,Success,0.9999987768607631,35973010,7807714,35972966,22,0,3,0,3,0,0,1000,55.1
0779cddacfa34241cdf579cb2370ab8e-instance_n8_i9_pp_ci_ce,Success,0.953485002,289842,24336,276360,504,189,8,4,6.532467532467533,756,378,0.122,7.65
0779ed19ae69bf464cce003d1a573246-008,Success,0.9987370294358253,69677,4128,69589,44,0,3,0,3,0,0,0.00151,0.0197
07c3cce524e2b85d8315ac4397ef08c4-puzzle47_sat,Success,0.9999850327408794,133625,35961,133623,1,0,3,0,3,0,0,0.0821,188
07c50b89d97a55b6e1629999a445a2ba-ctl_4201_555_unsat_pre,Success,0.978275446,141683,14756,138605,1056,0,9,0,3.2244318181818183,0,0,0.0722,0.266
07d20a83feca9295e862a7d583da5971-UTI-20-10t1,Success,0.8937810734981442,626941,238008,560348,17821,1,8,3,3.476096958814948,3,1,1.36,4.95
0810eb03d022334fdd1d5a6ad4969d47-gss-18-s100,Success,0.9999573492562777,93785,31364,93781,2,0,3,0,3,0,0,0.164,17.7
0831000a5a9727aa5fa3332df10cdb57-edn_20403_12.cnf_0.08000000.unsat,Success,0.9988862968381375,151746,91417,151577,42,5,3,5,3.2127659574468086,25,20,0.336,35.4
0842eb01dc00232edc0b26ccb2f19f25-6-4-6-sc2018,Success,0.942373033,245163,15320,231035,2645,0,5,0,4.009451796,0,0,0.158,0.503
08469bbccc41da0c124d69c61ce7dc58-barman-pfile07-027.sas.cr.37,Success,0.21159877217954332,4444298,119130,940408,58768,0,305,0,3.83938538,0,0,21.3,24.2
084f6e6da7f9c5125d6f28a044b6225c-ccp-s8-facto3,Success,0.9676388333999201,20024,936,19376,24,0,8,0,8,0,0,0.00138,0.000673
08530caa5c9232f2ffc5163cf79b38e7-satcoin-genesis-SAT-64,Success,0.9999969090392058,647048,134781,647046,1,0,3,0,3,0,0,0.134,7.2
0855033e761d91ae367e867c5a569f9e-atco_enc1_opt2_10_15,Success,0.9824503643052435,139718,9590,137266,929,0,11,0,3.100107643,0,0,0.0415,0.315
089456508f74be2d96f4112cc495f80a-Eternity-10-06_c18,Success,0.15076959721400882,243504,4660,36713,1130,3,60,6,9.785525154457194,18,6,0.708,0.437
08a25022c4136f2ceb36db62ce3503bb-c6bi_i,Success,0.9999437416051926,142201,48142,142193,4,0,3,0,3,0,0,0.295,22.9
08a68ba9d062c0856f1bc9cce7907b11-sgi-difficult4,Success,0.2749406175771972,15156,483,4167,1709,0,23,0,3.7712112346401403,0,0,0.0399,0.00254
08abbb56b2345b2da7af8866a4e8ad44-size_4_5_5_i037_w31_r9,Success,0.9977628635346756,7152,1938,7136,8,0,3,0,3,0,0,0.00709,0.376
08acbb7417346eb7dc0c860817be0cc3-MD5-28-3,Success,0.9999357904199306,62296,8276,62292,2,0,3,0,3,0,0,0.00132,0.168
08b6f45c900d30fb65462a65df69e214-transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT,Success,0.6986774946571287,3498587,723130,2444384,50857,27351,28,11,5.939430748772504,294223,218542,81.7,1000
08e151e72fe10402a49463171aa557e8-abw-V-nos6.mtx-w220,Success,0.8895945970721016,6654466,2020275,5919777,284324,0,4,0,3.1946617239487347,0,0,19.8,11.6
08e1c46acda38a12fa3229f9f224425d-Haystacks-ext-12_c18,Success,0.08552699,19526,1728,1670,373,0,13,0,9.710455764075068,0,0,0.0471,0.204
08e8e08679a3c2ccb537d682165cb351-by-X-2-7-100,Success,0.9999792314909935,2696390,62000,2696334,28,0,3,0,3,0,0,4.19,3.5
08eeb55c898dc6bedc915ed191dab009-total-10-11-u,Success,0.6772369591386073,617233,192890,418013,26702,0,7,0,4.4892517414425885,0,0,1.77,2.38
08f2462515d5c1ffd0881dd5801f54bd-SGI_30_70_28_60_5-dir.shuffled-as.sat03-177,Success,0.2454229340639077,75922,840,18633,10434,0,30,0,3.8156028368794326,0,0,0.457,0.0125
08fd5d81bf1af056edf0f4d1778f0834-AProVE09-03,Success,0.999597527,109324,59231,109280,22,0,3,0,3,0,0,0.46,2.54
0900255c001ced2b14a6cadc0403967e-mrpp_8x8#24_14,Success,0.9997169914008925,91870,12662,91844,13,0,3,0,3,0,0,0.0901,1.36
090f37bba39891c7cf3bed2ace26ca92-rbsat-v945c61409gyes2,Success,0.3673728606556042,61409,945,22560,11292,0,21,0,3.4226886291179595,0,0,0.316,0.0162
0949ba00fc83c074bb2db981a543756f-blocks-blocks-36-0.160-NOTKNOWN,Success,0.3449712457753017,8848265,652445,3052397,9786,0,38,0,34.35080727569998,0,0,126,4.07
09637d3bd641b4d733666a862e8918ea-mrpp_8x8#20_14,Success,0.9997212513669405,93274,12662,93248,13,0,3,0,3,0,0,0.103,1.3
096e485489025895cdc59887baafa08b-test_v7_r17_vr5_c1_s25451.smt2-cvc4,Success,0.9936384958282769,2509155,560348,2493193,7981,0,3,0,3,0,0,3.36,2.75
096f0ffbc2aa6f0e1fc7876a99e99bc5-phnf-size10-exclusive-equilarge_l2.used-as.sat04-894.sat05-4188.reshuffled-07,Success,0.7133481114443431,2507763,16476,1788908,316897,0,19,0,3.080912725585916,0,0,104,1.29
0995a4bc27c94bca1d53bf83de369fd0-T93.2.0,Success,0.9969185614853858,10928662,3171415,10894986,16838,0,3,0,3,0,0,68.8,126
09991a55c8e3c8ec7966a0105a76d6e1-manol-pipe-c10nidw,Success,0.9999876133283684,1291711,433601,1291695,8,0,3,0,3,0,0,5.24,107
099a345f923579d745e491b29c7da949-fclqcolor-14-09-12.shuffled-as.sat05-1284,Success,0.8387201664824088,15377,385,12897,40,0,14,0,11.55,0,0,0.0061,0.000461
09a58f93975cf27590153ceb26fb1ad6-Schur_161_5_d43,Success,0.9537288259881206,27274,752,26012,158,0,5,0,4.746835443037975,0,0,0.00425,0.00925
09dcc6149a23787a3aa96af8825bda60-test_v7_r7_vr10_c1_s32506.smt2-cvc4,Success,0.9937070390652369,1076123,242294,1069351,3386,0,3,0,3,0,0,1.33,1.28
09e6779ba720bc9c22bae55653614d53-crafted_n11_d6_c3_num4,Success,0.8551103767432598,7010716,36208,5994936,98340,0,66,0,3.4071181614805774,0,0,866,1.85
09fb57fff97fc30b723f91d1c80965a6-E03N17,Success,0.9940383266589742,88398,6664,87871,187,0,4,0,3.272727272727273,0,0,0.0402,0.198
0a015b7f4b4ec96e881f2f5f5e55265c-strips-gripper-18t35.shuffled-as.sat05-1147,Success,0.4814642748786408,316416,11318,152343,35651,0,54,0,3.290090039550083,0,0,3.05,0.25
0a1043b4f34db8a3de2aef9e4a82a34b-instance_n3_i3_pp,Success,0.9947275922671354,2276,525,2264,6,0,3,0,3,0,0,0.0013,0.00251
0a11a3dcc342fba24aeda274ad56d478-crafted_n11_d6_c4_num19,Success,0.8549933699391244,12696716,47888,10855608,98340,0,98,0,3.525889770185072,0,0,1000,3.77
0a27d1f7ff9fae1edf7f460f4fe70886-phnf-size10-exclusive-equilarge_l1.used-as.sat04-893.sat05-4187.reshuffled-07,Success,0.7323439921626763,2507999,16866,1836718,296189,0,20,0,3.079483033,0,0,104,1.21
