Name,Completed,nOrigCls,nOrigVar,real_time,user_time
0810eb03d022334fdd1d5a6ad4969d47-gss-18-s100,Success,93785,31364,18.005,8.417
08300e286c3380f7e7291ca6a534c97b-comb3.shuffled,Success,16323,4774,0.573,0.348
083030713683d8ab8e1d54372f241863-Kakuro-easy-089-ext.xml.hg_4,Success,13193763,111257,38.284,26.497
0831000a5a9727aa5fa3332df10cdb57-edn_20403_12.cnf_0.08000000.unsat,Success,151746,91417,36.036,16.248
0842eb01dc00232edc0b26ccb2f19f25-6-4-6-sc2018,Success,245163,15320,1.076,0.87
08469bbccc41da0c124d69c61ce7dc58-barman-pfile07-027.sas.cr.37,Success,4444298,119130,48.064,42.459
084f6e6da7f9c5125d6f28a044b6225c-ccp-s8-facto3,Success,20024,936,0.037,0.021
0850db65220080c130d2f54005f9e2b3-dspam_dump_vc972,Success,902136,274451,3.239,2.436
08530caa5c9232f2ffc5163cf79b38e7-satcoin-genesis-SAT-64,Success,647048,134781,8.468,4.417
0855033e761d91ae367e867c5a569f9e-atco_enc1_opt2_10_15,Success,139718,9590,0.629,0.459
085792654d945c1de700245916f2c7f6-tseitingrid5x185_shuffled,Success,7400,1850,0.017,0.008
0876c518e5653369e20fb1ee0bb8db40-mp1-klieber2017s-0500-023-t12,Success,91605,30587,32.485,17.283
088ffd086f2d5e55553d5e79aa30aaf5-4col280_9_9.shuffled,Success,4965,560,0.013,0.009
089456508f74be2d96f4112cc495f80a-Eternity-10-06_c18,Success,243504,4660,1.285,0.931
08a25022c4136f2ceb36db62ce3503bb-c6bi_i,Success,142201,48142,23.418,10.069
08a68ba9d062c0856f1bc9cce7907b11-sgi-difficult4,Success,15156,483,0.056,0.044
08abbb56b2345b2da7af8866a4e8ad44-size_4_5_5_i037_w31_r9,Success,7152,1938,0.4,0.18
08acbb7417346eb7dc0c860817be0cc3-MD5-28-3,Success,62296,8276,0.289,0.147
08b6f45c900d30fb65462a65df69e214-transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT,Success,3498587,723130,1086.353,601.656
08be288536c3178e6874a5676493923c-g2-hwmcc15deep-bob12s02-k16,Success,602144,203492,609.685,310.198
08c21a3bc091abcb67b883061e2381c9-mm-2x3-8-8-sb.1.shuffled-as.sat03-1504,Success,80891,2326,0.215,0.143
08cb0cf252b65c30c7c55218825c6ca0-hsat_vc12072,Success,643748,236486,6.309,3.788
